country,continent,pop,area,ppp,hdi,lifeexp
Afghanistan,Asia,38928346,652860,82736.86,49.6,43.828
Albania,Europe,2877797,27400,39657.88,79.10000000000001,76.423
Algeria,Africa,43851044,2381740,496572.4,75.9,72.301
Angola,Africa,32866272,1246700,218533.34,57.4,42.731
Argentina,America,45195774,2736690,1036721.13,83,75.32
Australia,Oceania,25499884,7682300,1275026.6,93.8,81.235
Austria,Europe,9006398,82409,502771.14,91.4,79.829
Bahrain,Asia,1701575,760,74229.74,83.8,75.635
Bangladesh,Asia,164689383,130170,734107.68,61.4,64.062
Belgium,Europe,11589623,30280,597433.15,91.9,79.441
Benin,Africa,12123200,112760,37185.97,52,56.728
Bolivia,America,11673021,1083300,100661.21,70.3,65.554
Botswana,Africa,2351627,566730,40708.02,72.8,50.728
Brazil,America,212559417,8358140,3131944.31,76.1,72.39
Bulgaria,Europe,6948445,108560,156693.06,81.6,73.005
Burkina Faso,Africa,20903273,273600,37625.51,43.4,52.295
Burundi,Africa,11890784,25680,8717.63,42.3,49.58
Cambodia,Asia,16718965,176520,69253.36,58.099999999999994,59.723
Cameroon,Africa,26545863,472710,93081.44,56.3,50.43
Canada,America,37742154,9093510,1852669.16,92.2,80.653
Central African Republic,Africa,4829767,622980,4460.31,38.1,44.741
Chad,Africa,16425864,1259200,25057.44,40.1,50.651
Chile,America,19116201,743532,463790.23,84.7,78.553
China,Asia,1447470092,9389291,21967627.68,75.8,72.961
Colombia,America,50882891,1109500,736510.9,76.1,72.889
Comoros,Africa,869601,1861,2614.78,53.800000000000004,65.152
Costa Rica,America,5094118,51060,98801.2,79.4,78.782
Cote d'Ivoire,Africa,26378274,318000,96068.56,51.6,48.328
Croatia,Europe,4105267,55960,114931.6,83.7,75.748
Denmark,Europe,5841065,43826,331502.62,93,78.332
Djibouti,Africa,988000,23180,5010.34,49.5,54.791
Dominican Republic,America,10847910,48320,192810.94,74.5,72.235
Ecuador,America,17643054,248360,202512.12,75.8,74.994
Egypt,Africa,102334404,995450,1145967.04,70,71.338
El Salvador,America,6486205,20720,56609.41,66.7,71.878
Equatorial Guinea,Africa,1402985,28050,27299.7,58.8,51.579
Eritrea,Africa,3546421,101000,6597.43,43.4,58.04
Ethiopia,Africa,114963588,1000000,235309.04,47,52.947
Finland,Europe,5540720,303890,273290.92,92.5,79.313
France,Europe,68147691,657766,3110915.15,89.1,80.657
